"","bio1","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9"
"Bomarea_pauciflora",93,95,91,1961,267,62,38,743,277,478,743,90,91,148,143,45,98,91,93
"Bomarea_salsilla",128,161,95,668,200,2,113,446,11,11,446,112,61,2538,229,48,181,100,161
"Bomarea_edulis",158,160,154,1695,251,75,38,621,275,400,621,97,93,235,212,108,104,154,159
"Bomarea_setacea",125,128,118,1960,257,100,30,687,312,363,650,111,88,406,191,66,125,121,128
"Bomarea_vargasii",93,104,80,364,84,4,72,187,20,187,20,153,82,911,174,-11,185,104,80
"Bomarea_involucrosa",45,55,29,777,173,3,98,503,16,503,16,158,77,1043,137,-67,204,55,29
"Bomarea_dulcis",55,72,35,970,189,19,68,479,73,315,83,159,71,1481,158,-65,223,65,35
"Bomarea_diffracta",116,117,113,2214,308,90,36,836,368,565,836,96,94,170,168,66,102,113,116
"Bomarea_patinii",138,139,135,2338,321,96,37,883,365,524,883,101,91,191,195,85,110,135,138
"Bomarea_linifolia",264,266,260,8701,1114,508,31,3213,1545,1778,2528,88,93,248,312,218,94,263,264
"Bomarea_hirsuta",71,73,67,867,123,20,44,322,77,322,77,98,89,266,126,17,109,73,67
"Bomarea_nematocaulon",174,184,163,734,102,16,52,296,58,249,63,152,80,821,261,71,190,175,163
"Bomarea_macusanii",6,21,-22,819,155,7,78,437,32,414,32,174,69,1742,113,-139,252,20,-22
"Bomarea_formosissima",131,144,112,817,157,11,71,426,44,354,51,146,73,1309,221,21,200,141,112
"Bomarea_multipes",126,128,120,749,118,21,54,336,73,170,75,94,87,327,181,74,107,128,121
"Bomarea_spissiflora",107,108,104,1283,181,30,45,511,124,485,124,113,90,146,169,44,125,108,104
"Bomarea_boliviensis",94,138,43,212,52,1,107,145,4,145,6,142,57,3739,211,-38,249,138,45
"Bomarea_angulata",66,68,63,522,73,22,41,212,72,133,72,96,88,218,122,14,108,66,63
"Bomarea_glaucescens",100,101,97,1328,181,36,40,505,150,478,150,111,91,157,160,39,121,101,97
"Bomarea_purpurea",61,63,55,847,101,48,21,269,163,190,195,94,87,352,117,9,108,62,63
"Bomarea_brevis",113,125,91,822,146,12,69,403,51,256,51,159,72,1401,207,-11,218,123,91
"Bomarea_ovallei",162,196,129,35,11,0,127,26,0,0,26,97,56,2641,252,81,171,133,196
"Luzuriaga_marginata",11,44,-24,844,90,53,13,245,178,216,202,77,52,2650,90,-56,146,12,-5
"Luzuriaga_parviflora",111,152,67,3632,362,227,13,1058,797,843,797,86,46,3302,202,18,184,108,67
"Luzuriaga_polyphylla",77,108,48,2193,318,61,55,944,220,220,944,90,56,2360,171,12,159,48,108
"Luzuriaga_radicans",77,108,48,2193,318,61,55,944,220,220,944,90,56,2360,171,12,159,48,108
"Drymophila_cyanocarpa",104,147,59,817,98,37,25,270,136,136,269,104,50,3425,217,12,205,65,147
"Drymophila_moorei",153,201,98,1730,251,52,47,729,189,680,235,113,50,4037,257,33,224,199,106
"Disporum_bodinieri",110,163,48,963,238,3,103,619,13,619,13,121,49,4560,211,-34,245,163,48
"Disporum_cantoniense",155,194,98,3394,821,9,96,2037,42,2037,42,84,43,3819,225,34,191,194,98
"Disporum_smilacinum",126,237,16,2389,335,103,42,939,324,939,324,92,27,8681,301,-36,337,237,16
"Disporum_sessile",150,243,59,3371,489,89,50,1326,287,1326,287,84,28,7163,294,4,290,243,59
"Uvularia_floridana",182,260,97,1586,171,73,19,455,299,449,423,136,44,6368,325,21,304,111,188
"Uvularia_sessilifolia",46,178,-101,1019,99,67,13,284,214,284,238,110,25,10786,253,-172,425,178,-87
"Uvularia_puberula",109,208,1,1284,142,85,14,380,277,380,277,136,38,8022,284,-72,356,208,1
"Uvularia_perfoliata",90,202,-29,1164,106,80,8,309,255,308,258,117,31,8923,277,-94,371,180,-17
"Uvularia_grandiflora",99,228,-47,1032,112,58,20,326,190,315,190,118,27,10593,305,-118,423,208,-47
"Wurmbea_punctata",162,195,125,488,76,11,58,221,48,49,215,106,57,2776,257,73,184,132,195
"Wurmbea_stricta",163,194,128,466,75,10,60,214,43,44,210,99,57,2605,252,79,173,135,194
"Wurmbea_graniticola",170,236,108,335,54,14,43,138,49,55,133,144,50,5081,332,48,284,117,220
"Wurmbea_tenella",191,258,128,449,95,10,73,235,34,45,235,137,49,5122,350,72,278,128,237
"Wurmbea_saccata",250,316,176,281,61,1,81,148,6,122,64,154,50,5469,405,97,308,314,247
"Wurmbea_dilatata",205,265,150,341,85,2,89,203,15,34,195,132,51,4453,344,87,257,161,239
"Wurmbea_densiflora",204,273,139,308,66,4,74,167,22,46,156,140,49,5214,359,75,284,151,219
"Wurmbea_odorata",244,299,184,242,48,0,75,117,6,84,85,128,50,4464,368,117,251,193,259
"Wurmbea_murchisoniana",204,278,131,281,53,7,60,138,26,52,125,146,47,5776,372,67,305,143,225
"Wurmbea_pygmaea",179,240,124,584,127,10,80,321,38,42,321,128,50,4572,324,70,254,124,218
"Wurmbea_biglandulosa",145,210,81,725,84,36,24,236,129,132,230,128,47,5060,299,28,271,90,209
"Wurmbea_citrina",213,289,132,137,18,9,24,47,28,47,28,149,46,6127,376,57,319,289,132
"Wurmbea_latifolia",149,187,111,617,96,17,53,269,59,59,269,73,47,2991,234,80,154,111,187
"Wurmbea_australis",172,243,99,315,37,17,25,106,58,58,100,142,48,5591,329,34,295,108,243
"Wurmbea_dioica",166,233,105,566,113,12,73,296,44,44,296,140,49,5075,330,47,283,105,233
"Wurmbea_centralis",161,222,98,545,70,19,43,203,61,64,203,129,49,4861,305,43,262,98,221
"Wurmbea_sinora",160,199,120,521,92,12,61,247,47,47,247,91,52,3067,254,79,175,120,199
"Wurmbea_monantha",185,227,147,679,149,7,88,392,28,32,297,93,51,3119,284,102,182,157,223
"Wurmbea_tubulosa",202,262,149,474,111,6,88,276,23,28,271,132,51,4428,346,92,254,160,258
"Wurmbea_drummondii",193,260,131,467,100,10,77,249,33,42,249,138,49,5078,352,74,278,131,237
"Wurmbea_inframediana",237,313,159,199,37,2,69,93,9,55,77,154,47,6056,408,86,322,170,263
"Wurmbea_angustifolia",86,131,34,817,126,10,58,339,49,339,49,133,53,3821,202,-45,247,125,34
"Wurmbea_kraussii",105,145,55,889,147,11,65,401,45,401,45,122,54,3535,203,-21,224,145,55
"Wurmbea_inusta",156,194,114,683,97,25,48,281,78,78,281,114,55,3178,261,55,206,114,194
"Wurmbea_variabilis",140,188,88,308,33,21,14,91,68,68,75,153,57,3935,274,9,265,146,188
"Wurmbea_elongata",160,211,105,305,52,6,62,143,24,29,143,157,57,4198,304,32,272,112,211
"Wurmbea_marginata",169,216,118,415,59,13,47,172,46,46,172,136,55,3855,295,48,247,118,216
"Wurmbea_monopetala",130,169,93,996,153,33,56,434,101,101,428,100,54,3022,233,49,184,101,169
"Wurmbea_recurva",153,199,108,970,151,27,62,446,85,85,438,119,54,3570,272,53,219,116,199
"Wurmbea_spicata",166,212,116,298,53,5,66,144,21,25,143,148,59,3777,298,48,250,123,211
"Baeometra_uniflora",156,194,114,683,97,25,48,281,78,78,281,114,55,3178,261,55,206,114,194
"Iphigenia_oliveri",224,262,178,613,93,13,57,260,44,260,44,123,54,3229,322,96,226,262,178
"Iphigenia_indica",278,299,245,1230,339,1,118,905,14,548,14,93,57,2098,347,186,161,290,245
"Camptorrhiza_strumosa",215,251,165,623,108,9,71,306,28,306,28,140,59,3393,310,75,235,251,165
"Ornithoglossum_zeyheri",159,184,132,96,17,2,59,46,7,9,46,105,64,2067,239,75,164,132,184
"Ornithoglossum_undulatum",165,219,108,269,47,5,61,126,21,21,125,160,57,4367,313,34,279,115,219
"Ornithoglossum_dinteri",147,212,75,237,47,8,55,105,27,78,27,163,50,5335,305,-16,321,207,75
"Ornithoglossum_vulgare",165,212,111,110,24,4,56,51,12,34,17,139,56,3984,285,37,248,209,142
"Ornithoglossum_viride",163,194,128,466,75,10,60,214,43,44,210,99,57,2605,252,79,173,135,194
"Ornithoglossum_parviflorum",177,220,130,175,30,3,62,82,13,17,82,152,60,3519,310,57,253,130,219
