,0,1,2
226,"['Uvularia', 'floridana']", geophyte  rhizome,78
227,"['Uvularia', 'grandiflora']", geophyte  rhizome,71 72 74 75 78
228,"['Uvularia', 'perfoliata']", geophyte  rhizome,72 75 77 78
229,"['Uvularia', 'puberula']", geophyte  rhizome,75 78
230,"['Uvularia', 'sessilifolia']", geophyte  rhizome,71 72 74 75 77 78
231,"['Wurmbea', 'angustifolia']", tuber  geophyte,26 27
232,"['Wurmbea', 'australis']", tuber  geophyte,50
233,"['Wurmbea', 'biglandulosa']", tuber  geophyte,50
234,"['Wurmbea', 'burttii']", tuber  geophyte,27
235,"['Wurmbea', 'calcicola']", tuber  geophyte,50
236,"['Wurmbea', 'capensis']", tuber  geophyte,27
237,"['Wurmbea', 'centralis']", tuber  geophyte,50
238,"['Wurmbea', 'cernua']", tuber  geophyte,50
239,"['Wurmbea', 'citrina']", tuber  geophyte,50
240,"['Wurmbea', 'compacta']", tuber  geophyte,27
241,"['Wurmbea', 'decumbens']", tuber  geophyte,50
242,"['Wurmbea', 'densiflora']", tuber  geophyte,50
243,"['Wurmbea', 'deserticola']", tuber  geophyte,50
244,"['Wurmbea', 'dilatata']", tuber  geophyte,50
245,"['Wurmbea', 'dioica']", tuber  geophyte,50
246,"['Wurmbea', 'dolichantha']", tuber  geophyte,27
247,"['Wurmbea', 'drummondii']", tuber  geophyte,50
248,"['Wurmbea', 'elatior']", tuber  geophyte,27
249,"['Wurmbea', 'elongata']", tuber  geophyte,27
250,"['Wurmbea', 'fluviatilis']", tuber  geophyte,50
251,"['Wurmbea', 'glassii']", tuber  geophyte,27
252,"['Wurmbea', 'graniticola']", tuber  geophyte,50
253,"['Wurmbea', 'hiemalis']", tuber  geophyte,27
254,"['Wurmbea', 'inflata']", tuber  geophyte,50
255,"['Wurmbea', 'inframediana']", tuber  geophyte,50
256,"['Wurmbea', 'inusta']", tuber  geophyte,27
257,"['Wurmbea', 'kraussii']", tuber  geophyte,27
258,"['Wurmbea', 'latifolia']", tuber  geophyte,50
259,"['Wurmbea', 'marginata']", tuber  geophyte,27
260,"['Wurmbea', 'minima']", tuber  geophyte,27
261,"['Wurmbea', 'monantha']", tuber  geophyte,50
262,"['Wurmbea', 'monopetala']", tuber  geophyte,27
263,"['Wurmbea', 'murchisoniana']", tuber  geophyte  hel.,50
264,"['Wurmbea', 'nilpinna']", tuber  geophyte,50
265,"['Wurmbea', 'novae-zelandiae']", tuber  geophyte,51
266,"['Wurmbea', 'odorata']", tuber  geophyte,50
267,"['Wurmbea', 'punctata']", tuber  geophyte,27
268,"['Wurmbea', 'pusilla']", tuber  geophyte,27
269,"['Wurmbea', 'pygmaea']", tuber  geophyte,50
270,"['Wurmbea', 'recurva']", tuber  geophyte,27
271,"['Wurmbea', 'robusta']", tuber  geophyte,27
272,"['Wurmbea', 'saccata']", tuber  geophyte,50
273,"['Wurmbea', 'sinora']", tuber  geophyte,50
274,"['Wurmbea', 'spicata']", tuber  geophyte,27
275,"['Wurmbea', 'stellata']", tuber  geophyte,50
276,"['Wurmbea', 'stricta']", tuber  geophyte,27
277,"['Wurmbea', 'tenella']", tuber  geophyte,50
278,"['Wurmbea', 'tenuis']", tuber  geophyte,22 23 25 26 27
279,"['Wurmbea', 'tubulosa']", tuber  geophyte,50
280,"['Wurmbea', 'uniflora']", tuber  geophyte,50
281,"['Wurmbea', 'variabilis']", tuber  geophyte,27
282,"['Petermannia', 'cirrosa']", cl.,50
283,"['Alstroemeria', 'achirae']", tuber  geophyte,85
284,"['Alstroemeria', 'albescens']", tuber  geophyte,84
285,"['Alstroemeria', 'altoparadisea']", tuber  geophyte,84
286,"['Alstroemeria', 'amabilis']", tuber  geophyte,84
287,"['Alstroemeria', 'amazonica']", tuber  geophyte,82 84
288,"['Alstroemeria', 'andina']", tuber  geophyte,85
