species,habit,range
Bomarea aurantiaca,geophyte rhizome,83
Bomarea boliviensis,geophyte rhizome,83 85
Bomarea brachysepala,geophyte rhizome,83
Bomarea bracteata,NA,83
Bomarea bracteolata,geophyte rhizome,80
Bomarea bredemeyeriana,tuber geophyte cl.,82 83
Bomarea brevis,geophyte rhizome,83
Bomarea callejasiana,tuber geophyte cl.,83
Bomarea campanularia,tuber geophyte,83
Bomarea campylophylla,geophyte rhizome,83
Bomarea carderi,geophyte rhizome,80 83
Bomarea caucana,tuber geophyte,83
Bomarea caudata,geophyte rhizome,83
Bomarea caudatisepala,geophyte rhizome cl.,80
Bomarea ceratophora,tuber geophyte,83
Bomarea chaparensis,tuber geophyte,83
Bomarea chimboracensis,geophyte rhizome,83
Bomarea chiriquina,geophyte rhizome,80
Bomarea coccinea,geophyte rhizome,83
Bomarea colombiana,tuber geophyte cl.,83
Bomarea cordifolia,geophyte rhizome,83
Bomarea cornigera,geophyte rhizome,83
Bomarea cornuta,tuber geophyte,83
Bomarea costaricensis,geophyte rhizome,80
Bomarea crassifolia,geophyte rhizome cl.,82 83
Bomarea crinita,geophyte rhizome,83
Bomarea crocea,geophyte rhizome cl.,83
Bomarea densiflora,tuber geophyte,83
Bomarea denticulata,geophyte rhizome,83
Bomarea diffracta,geophyte rhizome,83
Bomarea dispar,geophyte rhizome,83
Bomarea dissitifolia,tuber geophyte,83
Bomarea distichifolia,geophyte rhizome,83
Bomarea dolichocarpa,tuber geophyte,83
Bomarea dulcis,geophyte rhizome,83 85
Bomarea edulis,tuber geophyte,79 80 81 82 83 84 85
Bomarea endotrachys,geophyte rhizome cl.,83
Bomarea engleriana,geophyte rhizome,83
Bomarea euryantha,tuber geophyte,83
Bomarea euryphylla,tuber geophyte,83
Bomarea evecta,geophyte rhizome,83
Bomarea ferreyrae,geophyte rhizome,83
Bomarea foertheriana,tuber geophyte cl.,83
Bomarea formosissima,geophyte rhizome,83
Bomarea glaucescens,tuber geophyte,83
Bomarea goniocaulon,tuber geophyte,83
Bomarea graminifolia,tuber geophyte,83
Bomarea hartwegii,geophyte rhizome,83
Bomarea herbertiana,geophyte rhizome,83
Bomarea herrerae,geophyte rhizome,83
Bomarea hieronymi,geophyte rhizome,83
Bomarea hirsuta,tuber geophyte,80 83
Bomarea huanuco,tuber geophyte cl.,83
Bomarea inaequalis,geophyte rhizome,83
Bomarea involucrosa,tuber geophyte,83
Bomarea kraenzlinii,geophyte rhizome,83
Bomarea lancifolia,tuber geophyte,83
Bomarea latifolia,NA,83
Bomarea libertadensis,tuber geophyte cl.,83
Bomarea linifolia,geophyte rhizome,83
Bomarea longipes,tuber geophyte,83
Bomarea longistyla,geophyte rhizome,83
Bomarea lopezii,tuber geophyte cl.,82
Bomarea lutea,tuber geophyte,83
Bomarea macrocephala,tuber geophyte,83 85
Bomarea macusanii,tuber geophyte cl.,83
