species,habit,range
Gagea filiformis,geophyte bulb,30 32 34 36 37 40
Gagea flavonutans,geophyte bulb,36 40
Gagea foliosa,geophyte bulb,12 13 20
Gagea fragifera,geophyte bulb,11 12 13 14 20 30 32 33 34 36 37 40
Gagea gageoides,geophyte bulb,32 33 34 40
Gagea germainae,geophyte bulb,33
Gagea glacialis,geophyte bulb,33 34
Gagea glaucescens,geophyte bulb,32
Gagea goljakovii,geophyte bulb,30
Gagea gracillima,geophyte bulb,40
Gagea graeca,geophyte bulb,13 34
Gagea graminifolia,geophyte bulb,32 34
Gagea granatellii,geophyte bulb,12 13 20
Gagea granulosa,geophyte bulb,14 30 32 36 37
Gagea gymnopoda,geophyte bulb,32
Gagea gypsacea,geophyte bulb,32
Gagea helenae,geophyte bulb,33 34
Gagea hiensis,geophyte bulb,30 31 36 37 38
Gagea hissarica,geophyte bulb,32 34
Gagea humicola,geophyte bulb,32
Gagea huochengensis,geophyte bulb,36
Gagea ignota,geophyte bulb,32
Gagea incrustata,geophyte bulb,32
Gagea intercedens,geophyte bulb,34
Gagea iranica,geophyte bulb,34
Gagea jaeschkei,geophyte bulb,32 34 36 40
Gagea japonica,geophyte bulb,38
Gagea jensii,geophyte bulb,36
Gagea jispensis,geophyte bulb,40
Gagea joannis,geophyte bulb,33 34
Gagea juliae,geophyte bulb,34
Gagea kamelinii,geophyte bulb,32
Gagea kneissea,geophyte bulb,34
Gagea kopetdagensis,geophyte bulb,32
Gagea kunawurensis,geophyte bulb,32 33 34 36 40
Gagea kuraiensis,geophyte bulb,30
Gagea kuraminica,geophyte bulb,32
Gagea lacaitae,geophyte bulb,12 13 20
Gagea leosii,geophyte bulb,40
Gagea libanotica,geophyte bulb,34
Gagea lojaconoi,geophyte bulb,12 13 34
Gagea longiscapa,geophyte bulb,30 31
Gagea ludmilae,geophyte bulb,32
Gagea lusitanica,geophyte bulb,12 20
Gagea lutea,geophyte bulb,10 11 12 13 14 30 31 32 33 34 38 40
Gagea luteoides,geophyte bulb,33 34
Gagea maeotica,geophyte bulb,14 33
Gagea marchica,geophyte bulb,11
Gagea mauritanica,geophyte bulb,12 13 20
Gagea menitskyi,geophyte bulb,33 34
Gagea mergalahensis,geophyte bulb,40
Gagea michaelis,geophyte bulb,32
Gagea micrantha,geophyte bulb,34
Gagea minima,geophyte bulb,10 11 13 14 33
Gagea minutiflora,geophyte bulb,32
Gagea minutissima,geophyte bulb,32
Gagea moniliformis,geophyte bulb,20
Gagea multipedunculifera,geophyte bulb,32
Gagea nabievii,geophyte bulb,32
Gagea nakaiana,geophyte bulb,30 31 36 38 40
Gagea neopopovii,geophyte bulb,32 36
Gagea nevadensis,geophyte bulb,12 20
Gagea noltiei,geophyte bulb,40
Gagea novoascanica,geophyte bulb,14
Gagea olgae,geophyte bulb,32 34 36 40
Gagea omalensis,geophyte bulb,13
Gagea paedophila,geophyte bulb,32 34
Gagea pakistanica,geophyte bulb,40
Gagea paniculata,geophyte bulb,32
Gagea pauciflora,geophyte bulb,30 31 36 37
Gagea pedata,geophyte bulb,32
Gagea peduncularis,geophyte bulb,13 20 34
Gagea peruzzii,geophyte bulb,13
Gagea podolica,geophyte bulb,14 33
Gagea polymorpha,geophyte bulb,12
Gagea popovii,geophyte bulb,32
Gagea praemixta,geophyte bulb,32
Gagea pratensis,geophyte bulb,10 11 12 13 14 20 34
Gagea pseudominutiflora,geophyte bulb,32
Gagea pseudopeduncularis,geophyte bulb,13
Gagea punjabica,geophyte bulb,40
Gagea pusilla,geophyte bulb,11 13 14 30 32 33
Gagea quasitenuifolia,geophyte bulb,32 33 34
Gagea quettica,geophyte bulb,40
Gagea ramulosa,geophyte bulb,13 14 20 33 34
Gagea rawalpindica,geophyte bulb,40
Gagea reinhardii,geophyte bulb,32
Gagea reticulata,geophyte bulb,13 14 20 32 33 34 35 40
Gagea reverchonii,geophyte bulb,12
Gagea rigida,geophyte bulb,13 20 33 34 35
Gagea robusta,geophyte bulb,34
Gagea rubicunda,geophyte bulb,14
Gagea rubinae,geophyte bulb,40
Gagea rufidula,geophyte bulb,32
Gagea rupicola,geophyte bulb,32
Gagea sarmentosa,geophyte bulb,33 34
Gagea sarysuensis,geophyte bulb,32
Gagea schachimardanica,geophyte bulb,32
Gagea schugnanica,geophyte bulb,32
Gagea scythica,geophyte bulb,14 33
Gagea serotina,geophyte bulb,10 11 12 13 14 20 30 31 32 33 34 36 37 38 40 70 71 73 76 77
Gagea setifolia,geophyte bulb,32 33 34 40
Gagea shmakoviana,geophyte bulb,30
Gagea sicula,geophyte bulb,13
Gagea siphonantha,geophyte bulb,34
Gagea sivasica,geophyte bulb,34
Gagea soleirolii,geophyte bulb,12
Gagea spathacea,geophyte bulb,10 11 12 13 14 33
Gagea spumosa,geophyte bulb,32 40
Gagea staintonii,geophyte bulb,34 40
Gagea stepposa,geophyte bulb,36
Gagea subtilis,geophyte bulb,32
Gagea sulfurea,geophyte bulb,33 34
Gagea tadshikistanica,geophyte bulb,32
Gagea takhtajanii,geophyte bulb,32
Gagea talassica,geophyte bulb,32
Gagea taschkentica,geophyte bulb,32
Gagea taurica,geophyte bulb,14 33
Gagea tenera,geophyte bulb,32 33 34 36 40
Gagea tenuissima,geophyte bulb,33 34
Gagea tesquicola,geophyte bulb,14
Gagea tisoniana,geophyte bulb,13
Gagea toktogulii,geophyte bulb,32
Gagea toppinii,geophyte bulb,40
Gagea transversalis,geophyte bulb,11 14
Gagea triflora,geophyte bulb,31 36 38
Gagea trinervia,geophyte bulb,13 20
Gagea turanica,geophyte bulb,32 33 34
Gagea ucrainica,geophyte bulb,14 36 37
Gagea ugamica,geophyte bulb,32
Gagea ulazsaica,geophyte bulb,32
Gagea uliginosa,geophyte bulb,34
Gagea utriculosa,geophyte bulb,40
Gagea vaginata,geophyte bulb,31 38
Gagea vanensis,geophyte bulb,34
Gagea vegeta,geophyte bulb,32 33 34
Gagea villosa,geophyte bulb,10 11 12 13 14 20 33 34
Gagea villosula,geophyte bulb,32
Gagea vvedenskyi,geophyte bulb,32 34 40
Gagea wallichii,geophyte bulb,40
Gagea wendelboi,geophyte bulb,34
Gagea xiphoidea,geophyte bulb,30
Lilium akkusianum,geophyte bulb,34
Lilium albanicum,geophyte bulb,13
Lilium amabile,geophyte bulb,36 38
Lilium amoenum,geophyte bulb,36
Lilium anhuiense,geophyte bulb,36
Lilium apertum,geophyte bulb,36 41
Lilium arboricola,geophyte bulb,41
Lilium armenum,geophyte bulb,33 34
Lilium auratum,geophyte bulb,38
Lilium bakerianum,geophyte bulb,36 40 41
Lilium basilissum,geophyte bulb,36 41
Lilium bolanderi,geophyte bulb,73 76
Lilium bosniacum,geophyte bulb,13
Lilium brevistylum,geophyte bulb,36
Lilium brownii,geophyte bulb,36 41
Lilium bulbiferum,geophyte bulb,11 12 13
Lilium callosum,geophyte bulb,31 36 38
Lilium canadense,geophyte bulb,72 75 78
Lilium candidum,geophyte bulb,34
Lilium carniolicum,geophyte bulb,11 13
Lilium catesbaei,geophyte bulb,78
Lilium cernuum,geophyte bulb,31 36 38
Lilium chalcedonicum,geophyte bulb,13
Lilium ciliatum,geophyte bulb,34
Lilium columbianum,geophyte bulb,71 73 76
Lilium concolor,geophyte bulb,30 31 36 37 38
Lilium davidii,geophyte bulb,36 40
Lilium debile,geophyte bulb,31
Lilium distichum,geophyte bulb,31 36 38
Lilium duchartrei,geophyte bulb,36 40
Lilium eupetes,geophyte bulb,41
Lilium fargesii,geophyte bulb,36
Lilium floridum,geophyte bulb,36
Lilium formosanum,geophyte bulb,NA
Lilium georgei,geophyte bulb,41
Lilium gongshanense,geophyte bulb,36
Lilium grayi,geophyte bulb,78
Lilium hansonii,geophyte bulb,38
Lilium henrici,geophyte bulb,36
Lilium henryi,geophyte bulb,36
Lilium humboldtii,geophyte bulb,76 79
Lilium iridollae,geophyte bulb,78
Lilium jankae,geophyte bulb,13
Lilium japonicum,geophyte bulb,38
Lilium kelleyanum,geophyte bulb,76
Lilium kelloggii,geophyte bulb,73 76
Lilium kesselringianum,geophyte bulb,33 34
Lilium lancifolium,geophyte bulb,36 38
Lilium lankongense,geophyte bulb,36
Lilium ledebourii,geophyte bulb,33 34
Lilium leichtlinii,geophyte bulb,31 36 38
Lilium leucanthum,geophyte bulb,36
Lilium lijiangense,geophyte bulb,36
Lilium longiflorum,geophyte bulb,38 42
Lilium lophophorum,geophyte bulb,36
Lilium mackliniae,geophyte bulb,40
Lilium maculatum,geophyte bulb,38
Lilium maritimum,geophyte bulb,76
Lilium martagon,geophyte bulb,11 12 13 14 30 32 33 34 36 37
Lilium matangense,geophyte bulb,36
Lilium medeoloides,geophyte bulb,31 36 38
Lilium medogense,geophyte bulb,36
Lilium meleagrinum,geophyte bulb,36
Lilium michauxii,geophyte bulb,75 77 78
Lilium michiganense,geophyte bulb,72 74 75 78
Lilium monadelphum,geophyte bulb,14 33
Lilium nanum,geophyte bulb,36 40 41
Lilium nepalense,geophyte bulb,36 40 41
Lilium nobilissimum,geophyte bulb,38
Lilium occidentale,geophyte bulb,73 76
Lilium oxypetalum,geophyte bulb,40
Lilium papilliferum,geophyte bulb,36
Lilium paradoxum,geophyte bulb,36
Lilium pardalinum,geophyte bulb,73 76 79
Lilium pardanthinum,geophyte bulb,36
Lilium parryi,geophyte bulb,76 79
Lilium parvum,geophyte bulb,76
Lilium pensylvanicum,geophyte bulb,30 31 36 37 38
Lilium philadelphicum,geophyte bulb,71 72 73 74 75 77 78
Lilium philippinense,geophyte bulb,38 42
Lilium pinifolium,geophyte bulb,36
Lilium poilanei,geophyte bulb,41
Lilium polyphyllum,geophyte bulb,34 40
Lilium pomponium,geophyte bulb,12 13
Lilium ponticum,geophyte bulb,33 34
Lilium primulinum,geophyte bulb,36 40 41
Lilium procumbens,geophyte bulb,41
Lilium puerense,geophyte bulb,36
Lilium pumilum,geophyte bulb,30 31 36 37 38
Lilium pyi,geophyte bulb,36
Lilium pyrenaicum,geophyte bulb,12
Lilium pyrophilum,geophyte bulb,78
Lilium regale,geophyte bulb,36
Lilium rhodopeum,geophyte bulb,13
Lilium rockii,geophyte bulb,36
Lilium rosthornii,geophyte bulb,36
Lilium rubellum,geophyte bulb,38
Lilium rubescens,geophyte bulb,76
Lilium saluenense,geophyte bulb,36 41
Lilium sargentiae,geophyte bulb,36
Lilium sempervivoideum,geophyte bulb,36
Lilium sherriffiae,geophyte bulb,40
Lilium souliei,geophyte bulb,36 40
Lilium speciosum,geophyte bulb,36 38
Lilium stewartianum,geophyte bulb,36
Lilium sulphureum,geophyte bulb,36 40 41
Lilium superbum,geophyte bulb,74 75 78
Lilium synapticum,geophyte bulb,40 41
Lilium szovitsianum,geophyte bulb,33 34
Lilium taliense,geophyte bulb,36
Lilium tianschanicum,geophyte bulb,36
Lilium tsingtauense,geophyte bulb,36 38
Lilium ukeyuri,geophyte bulb,38
Lilium wallichianum,geophyte bulb,40 41
Lilium wardii,geophyte bulb,36
Lilium washingtonianum,geophyte bulb,73 76
Lilium yapingense,geophyte bulb,36
Medeola virginiana,geophyte rhizome,72 74 75 78
Notholirion bulbuliferum,geophyte bulb,36 40 41
Notholirion koeiei,geophyte bulb,34
Notholirion macrophyllum,geophyte bulb,36 40
Notholirion thomsonianum,geophyte bulb,34 40
Prosartes hookeri,geophyte rhizome,71 73 75 76
Prosartes lanuginosa,geophyte rhizome,72 75 78
Prosartes maculata,geophyte rhizome,75 78
Prosartes parvifolia,geophyte rhizome,73 76
Prosartes smithii,geophyte rhizome,71 73 76
Prosartes trachycarpa,geophyte rhizome,71 72 73 74 75 76 77
Scoliopus bigelovii,geophyte rhizome,76
Scoliopus hallii,geophyte rhizome,73
Streptopus amplexifolius,geophyte rhizome,11 12 13 14 30 31 38 41 70 71 72 73 74 75 76 77 78
Streptopus chatterjeeanus,geophyte rhizome,40
Streptopus koreanus,geophyte rhizome,36 38
Streptopus lanceolatus,geophyte rhizome,70 71 72 73 74 75 78
Streptopus obtusatus,geophyte rhizome,36
Streptopus ovalis,geophyte rhizome,36 38
Streptopus parasimplex,geophyte rhizome hemicr,40
Streptopus parviflorus,geophyte rhizome,36
Streptopus simplex,hemicr,36 40 41
Streptopus streptopoides,geophyte rhizome,30 31 38 70 71 73
Tricyrtis affinis,hemicr,38
Tricyrtis chinensis,hemicr,36
Tricyrtis dilatata,hemicr,38
Tricyrtis flava,hemicr,38
Tricyrtis formosana,hemicr,38
Tricyrtis hirta,hemicr,38
Tricyrtis imeldae,hemicr,42
Tricyrtis ishiiana,hemicr lithophyt,38
Tricyrtis lasiocarpa,hemicr,38
Tricyrtis latifolia,hemicr,38
Tricyrtis macrantha,hemicr,38
Tricyrtis macranthopsis,hemicr,38
Tricyrtis macropoda,hemicr,38
Tricyrtis macropoda,hemicr,38
Tricyrtis macropoda,hemicr,38
Tricyrtis maculata,hemicr,36 40 41
Tricyrtis nana,hemicr,38
Tricyrtis ohsumiensis,hemicr,38
Tricyrtis perfoliata,lithophyt,38
Tricyrtis puberula,hemicr,36
Tricyrtis setouchiensis,hemicr,38
Tricyrtis suzukii,hemicr lithophyt,38
Tulipa agenensis,geophyte bulb,34
Tulipa albanica,geophyte bulb,13
Tulipa alberti,geophyte bulb,32
Tulipa aleppensis,geophyte bulb,34
Tulipa altaica,geophyte bulb,30 32 36
Tulipa anisophylla,geophyte bulb,32
Tulipa armena,geophyte bulb,33 34
Tulipa auliekolica,geophyte bulb,32
Tulipa banuensis,geophyte bulb,34
Tulipa biflora,geophyte bulb,13 14 20 30 32 33 34 35 36 40
Tulipa bifloriformis,geophyte bulb,32
Tulipa boettgeri,geophyte bulb,32
Tulipa borszczowii,geophyte bulb,32
Tulipa botschantzevae,geophyte bulb,32 34
Tulipa butkovii,geophyte bulb,32
Tulipa carinata,geophyte bulb,32 34
Tulipa cinnabarina,geophyte bulb,34
Tulipa clusiana,geophyte bulb,34 40
Tulipa cretica,geophyte bulb,13
Tulipa cypria,geophyte bulb,34
Tulipa dasystemon,geophyte bulb,32 36
Tulipa dubia,geophyte bulb,32
Tulipa faribae,geophyte bulb,34
Tulipa ferganica,geophyte bulb,32
Tulipa foliosa,geophyte bulb,34
Tulipa fosteriana,geophyte bulb,32 34
Tulipa gesneriana,geophyte bulb,34
Tulipa greigii,geophyte bulb,32 34
Tulipa harazensis,geophyte bulb,34
Tulipa heteropetala,geophyte bulb,30 32 36
Tulipa heterophylla,geophyte bulb,32 36
Tulipa heweri,geophyte bulb,34
Tulipa hissarica,geophyte bulb,32
Tulipa hoogiana,geophyte bulb,32 34
Tulipa humilis,geophyte bulb,33 34
Tulipa hungarica,geophyte bulb,13
Tulipa iliensis,geophyte bulb,32 36
Tulipa ingens,geophyte bulb,32
Tulipa intermedia,geophyte bulb,32
Tulipa ivasczenkoae,geophyte bulb,32
Tulipa jacquesii,geophyte bulb,32
Tulipa julia,geophyte bulb,33 34
Tulipa kaufmanniana,geophyte bulb,32
Tulipa kolbintsevii,geophyte bulb,32
Tulipa kolpakowskiana,geophyte bulb,32 34 36
Tulipa korolkowii,geophyte bulb,32
Tulipa kosovarica,geophyte bulb,13
Tulipa koyuncui,geophyte bulb,34
Tulipa kuschkensis,geophyte bulb,32 34
Tulipa lanata,geophyte bulb,32 34 40
Tulipa lehmanniana,geophyte bulb,32 34
Tulipa lemmersii,geophyte bulb,32
Tulipa linifolia,geophyte bulb,32 34
Tulipa montana,geophyte bulb,32 34
Tulipa orithyioides,geophyte bulb,32
Tulipa orphanidea,geophyte bulb,13 34
Tulipa ostrowskiana,geophyte bulb,32
Tulipa persica,geophyte bulb,34
Tulipa platystemon,geophyte bulb,32
Tulipa praestans,geophyte bulb,32
Tulipa regelii,geophyte bulb,32
Tulipa saxatilis,geophyte bulb,34
Tulipa scardica,geophyte bulb,13
Tulipa scharipovii,geophyte bulb,32
Tulipa schmidtii,geophyte bulb,33 34
Tulipa serbica,geophyte bulb,13
Tulipa sinkiangensis,geophyte bulb,36
Tulipa sosnowskyi,geophyte bulb,33
Tulipa sprengeri,geophyte bulb,34
Tulipa suaveolens,geophyte bulb,14 32 33 34
Tulipa subquinquefolia,geophyte bulb,32
Tulipa sylvestris,geophyte bulb,12 13 14 20 30 32 33 36
Tulipa systola,geophyte bulb,34
Tulipa talassica,geophyte bulb,32
Tulipa tetraphylla,geophyte bulb,32 36
Tulipa turgaica,geophyte bulb,32
Tulipa turkestanica,geophyte bulb,32 36
Tulipa ulophylla,geophyte bulb,34
Tulipa undulatifolia,geophyte bulb,13 32 33 34
Tulipa uniflora,geophyte bulb,30 32 36 37
Tulipa urumiensis,geophyte bulb,32 34
Tulipa uzbekistanica,geophyte bulb,32
Tulipa vvedenskyi,geophyte bulb,32
Campynema lineare,hemicr,50
Campynemanthe neocaledonica,hemicr cham,60
Campynemanthe parva,hemicr,60
Campynemanthe viridiflora,hemicr cham,60
Ripogonum album,cl.,43 50
Ripogonum brevifolium,nanophan,50
Ripogonum discolor,nanophan,50
Ripogonum elseyanum,cl.,50
Ripogonum fawcettianum,cl.,50
Ripogonum scandens,cl.,51
Arachnitis uniflora,hemicr holomycotroph,83 85 90
Corsia acuminata,geophyte rhizome holomycotroph,43
Corsia arfakensis,geophyte rhizome holomycotroph,43
Corsia boridiensis,geophyte rhizome holomycotroph,43
Corsia brassii,geophyte rhizome holomycotroph,43
Corsia clypeata,geophyte rhizome holomycotroph,43
Corsia cordata,geophyte rhizome holomycotroph,43
Corsia cornuta,geophyte rhizome holomycotroph,43
Corsia crenata,geophyte rhizome holomycotroph,43
Corsia cyclopensis,geophyte rhizome holomycotroph,43
Corsia dispar,geophyte rhizome holomycotroph,50
Corsia haianjensis,geophyte rhizome holomycotroph,43
Corsia huonensis,geophyte rhizome holomycotroph,43
Corsia lamellata,geophyte rhizome holomycotroph,43
Corsia merimantaensis,geophyte rhizome holomycotroph,43
Corsia ornata,geophyte rhizome holomycotroph,43 50
Corsia papuana,geophyte rhizome holomycotroph,43
Corsia purpurata,geophyte rhizome holomycotroph,43
Corsia pyramidata,geophyte rhizome holomycotroph,43
Corsia resiensis,geophyte rhizome holomycotroph,43
Corsia torricellensis,geophyte rhizome holomycotroph,43
Corsia triceratops,geophyte rhizome holomycotroph,43
Corsia unguiculata,geophyte rhizome holomycotroph,43
Corsia viridopurpurea,geophyte rhizome holomycotroph,43
Corsia wiakabui,geophyte rhizome holomycotroph,43
Corsia wubungu,geophyte rhizome holomycotroph,43
Corsiopsis chinensis,holomycotroph,36
Lapageria rosea,cl. cham,85
Philesia magellanica,cham nanophan,85
